id,product_category,product_weight_kg,product_length_mm,product_width_mm,product_height_mm,fragility_level,transport_type,box_style,board_type,flute_type,liner_gsm,fluting_gsm,burst_strength_kg_cm2,ECT_lb_per_in,internal_protection,tape_type,strapping_type,extra_packaging,estimated_price_inr,pros,cons
691,Ceramics,22.44,732,786,658,High,Courier,Pallet box,7-ply,B+C,150,160,24,51,Bubble wrap,Filament tape,Steel strap,Corner protectors,307.99,Low cost,Higher cost
692,Mobile accessories,27.52,1168,569,643,Medium,Courier,Mailer box,3-ply,A,150,100,16,32,Foam sheet,BOPP tape,PET strap,Edge protectors,37.26,Good stacking,Heavy box
693,Kitchen appliances,73.86,1398,959,221,Low,Interstate trucking,Mailer box,3-ply,C,150,160,12,48,Corrugated dividers,BOPP tape,Steel strap,Edge protectors,23.03,Export suitable,Higher cost
694,Pharmaceutical,51.08,879,624,776,Low,Interstate trucking,Mailer box,3-ply,E,230,160,22,48,Air pillows,BOPP tape,Steel strap,Layer pads,20.13,High strength,Limited moisture resistance
695,Food products,29.01,635,107,585,Low,Courier,RSC,3-ply,A,180,100,14,51,Paper void fill,Water activated kraft tape,PET strap,Edge protectors,12.44,Low cost,Limited moisture resistance
696,Books,56.66,170,401,562,Low,Interstate trucking,Die-cut box,7-ply,B+C,200,160,16,51,Foam sheet,Filament tape,None,None,229.57,Export suitable,Higher cost
697,Paint cans,78.38,740,576,615,High,Local transport,Full overlap box,7-ply,A,150,140,24,51,Bubble wrap,BOPP tape,PET strap,None,263.69,Good stacking,Heavy box
698,Clothing,73.09,1340,75,503,Low,Export container,Mailer box,3-ply,B,200,140,12,51,None,Filament tape,PET strap,Edge protectors,39.27,Export suitable,Higher cost
699,Books,18.54,872,960,503,Medium,Interstate trucking,RSC,7-ply,A,200,100,20,72,Corrugated dividers,BOPP tape,Steel strap,None,115.79,High strength,Bulky size
700,Paint cans,62.4,775,112,464,Low,Export container,Full overlap box,7-ply,E,180,160,24,32,Foam sheet,Filament tape,PET strap,None,95.55,Good cushioning,Heavy box
701,Ceramics,30.04,1364,627,663,High,Interstate trucking,Mailer box,7-ply,E,230,100,20,51,Bubble wrap,Filament tape,None,Pallet wrap,301.48,Good cushioning,Heavy box
702,Electronics,58.29,232,463,373,Low,Courier,Die-cut box,3-ply,E,230,140,22,51,None,BOPP tape,Steel strap,Pallet wrap,47.77,Good stacking,Limited moisture resistance
703,LED bulbs,31.36,263,385,419,Low,Export container,Die-cut box,7-ply,E,150,120,18,72,Foam sheet,Filament tape,Steel strap,Edge protectors,117.05,Low cost,Higher cost
704,Kitchen appliances,8.73,652,524,166,Medium,Interstate trucking,Die-cut box,3-ply,A,230,120,16,44,None,Water activated kraft tape,Steel strap,Edge protectors,43.48,Low cost,Limited moisture resistance
705,Auto parts,9.68,419,214,181,Low,Local transport,Pallet box,3-ply,E,230,160,12,32,Foam sheet,Water activated kraft tape,PP strap,Layer pads,37.44,Low cost,Limited moisture resistance
706,Electronics,32.14,80,684,215,High,Interstate trucking,Mailer box,3-ply,A,200,160,14,61,Foam sheet,BOPP tape,Steel strap,Corner protectors,37.49,Good stacking,Bulky size
707,Mobile accessories,15.41,1133,900,640,Medium,Export container,Pallet box,5-ply,B+C,200,160,14,61,Air pillows,Filament tape,Steel strap,Edge protectors,59.73,Export suitable,Higher cost
708,Auto parts,19.18,856,972,152,High,Courier,RSC,7-ply,B+C,180,160,18,61,Foam sheet,Water activated kraft tape,PP strap,Pallet wrap,313.08,Good cushioning,Higher cost
709,Mobile accessories,52.2,484,686,57,Medium,Local transport,Full overlap box,7-ply,E,120,120,12,23,Paper void fill,BOPP tape,PP strap,Layer pads,179.15,Good cushioning,Limited moisture resistance
710,Pharmaceutical,47.04,358,140,444,Medium,Interstate trucking,Die-cut box,3-ply,C,150,160,12,44,Paper void fill,Water activated kraft tape,Steel strap,Corner protectors,35.34,Good cushioning,Needs padding
711,Industrial tools,35.81,1075,142,569,Low,Courier,Mailer box,7-ply,B,230,100,24,44,None,Water activated kraft tape,Steel strap,None,175.14,Good stacking,Limited moisture resistance
712,Glass bottles,31.86,336,509,691,Low,Courier,RSC,3-ply,C,230,100,18,44,None,Filament tape,PET strap,None,41.55,Good stacking,Limited moisture resistance
713,Glass bottles,29.65,370,276,333,High,Interstate trucking,Pallet box,7-ply,B+C,200,120,18,51,Corrugated dividers,BOPP tape,PET strap,Pallet wrap,98.28,Good stacking,Needs padding
714,Paint cans,37.64,631,143,326,Low,Export container,RSC,5-ply,B+C,180,120,14,51,Foam sheet,Filament tape,None,Pallet wrap,47.0,Low cost,Needs padding
715,LED bulbs,62.1,154,288,182,High,Interstate trucking,Pallet box,7-ply,B+C,230,140,22,51,Paper void fill,Water activated kraft tape,None,Layer pads,187.22,Good cushioning,Needs padding
716,Clothing,78.67,382,275,108,High,Courier,Pallet box,5-ply,B,250,100,22,48,None,Filament tape,None,Corner protectors,109.58,Low cost,Heavy box
717,Cosmetics,22.23,1165,168,123,Medium,Export container,Full overlap box,5-ply,B,120,100,16,72,Paper void fill,BOPP tape,Steel strap,Layer pads,133.97,Good stacking,Limited moisture resistance
718,Books,8.32,887,630,390,Low,Interstate trucking,Pallet box,7-ply,B+C,250,140,18,61,Bubble wrap,Filament tape,Steel strap,Edge protectors,145.34,High strength,Limited moisture resistance
719,Industrial tools,41.33,778,969,487,Medium,Export container,Full overlap box,7-ply,C,200,100,14,51,Paper void fill,Water activated kraft tape,PET strap,Edge protectors,249.09,Low cost,Higher cost
720,Auto parts,15.49,506,208,191,Low,Interstate trucking,Pallet box,3-ply,E,180,100,16,72,Foam sheet,Water activated kraft tape,Steel strap,Pallet wrap,16.34,Good stacking,Limited moisture resistance
721,Kitchen appliances,67.66,411,277,222,Low,Courier,Die-cut box,7-ply,A,230,160,16,32,Corrugated dividers,BOPP tape,PET strap,Edge protectors,215.72,Export suitable,Limited moisture resistance
722,Paint cans,7.78,1171,66,799,Medium,Local transport,RSC,5-ply,B+C,180,160,12,51,None,Filament tape,PET strap,Corner protectors,111.04,Good cushioning,Limited moisture resistance
723,Industrial tools,43.89,165,898,474,High,Local transport,Die-cut box,5-ply,B+C,250,100,12,23,None,Water activated kraft tape,None,None,105.47,High strength,Heavy box
724,LED bulbs,52.3,697,756,465,High,Local transport,Mailer box,7-ply,B,120,160,12,48,None,Water activated kraft tape,None,Edge protectors,169.22,High strength,Heavy box
725,Books,51.64,942,539,71,Medium,Interstate trucking,RSC,3-ply,B+C,120,120,20,23,Corrugated dividers,BOPP tape,PP strap,Edge protectors,20.1,Low cost,Needs padding
726,LED bulbs,54.52,1192,762,724,Medium,Export container,RSC,7-ply,B+C,180,100,14,72,Paper void fill,BOPP tape,PP strap,Pallet wrap,126.67,Good cushioning,Higher cost
727,LED bulbs,53.88,934,708,72,Low,Courier,Pallet box,3-ply,C,230,140,22,32,Bubble wrap,Water activated kraft tape,None,Pallet wrap,42.05,Export suitable,Needs padding
728,LED bulbs,2.77,775,871,62,Medium,Interstate trucking,Pallet box,7-ply,A,150,120,18,32,None,BOPP tape,Steel strap,Corner protectors,147.28,Good stacking,Limited moisture resistance
729,Mobile accessories,39.27,454,172,234,Medium,Local transport,Die-cut box,7-ply,E,180,140,18,51,Foam sheet,Water activated kraft tape,PET strap,Layer pads,121.73,Good cushioning,Limited moisture resistance
730,Industrial tools,72.93,195,931,625,Low,Export container,Pallet box,7-ply,B,200,120,18,72,Corrugated dividers,Filament tape,PP strap,Edge protectors,269.08,Good cushioning,Limited moisture resistance
731,Electronics,65.14,542,644,257,Medium,Local transport,Pallet box,7-ply,B,150,100,14,48,Bubble wrap,Filament tape,Steel strap,Layer pads,250.39,High strength,Bulky size
732,Electronics,48.5,1375,274,622,High,Interstate trucking,Mailer box,7-ply,B+C,120,100,22,32,Corrugated dividers,Filament tape,Steel strap,Edge protectors,161.39,Good cushioning,Bulky size
733,Industrial tools,6.5,115,885,486,Medium,Courier,Full overlap box,3-ply,B+C,180,160,12,48,None,Filament tape,PET strap,Corner protectors,28.27,Low cost,Higher cost
734,Glass bottles,24.79,1041,379,428,Low,Local transport,Die-cut box,3-ply,B,230,140,12,23,Air pillows,BOPP tape,None,Edge protectors,33.16,Export suitable,Bulky size
735,Clothing,39.42,1071,763,61,Medium,Export container,Mailer box,3-ply,E,120,120,24,61,None,Filament tape,PP strap,None,22.35,Good cushioning,Higher cost
736,Paint cans,62.42,474,933,616,Low,Interstate trucking,RSC,7-ply,A,200,140,24,61,None,BOPP tape,Steel strap,Layer pads,116.81,Export suitable,Limited moisture resistance
737,Electronics,29.19,344,258,556,Medium,Export container,Die-cut box,3-ply,C,150,160,14,61,Bubble wrap,BOPP tape,PET strap,Pallet wrap,12.19,High strength,Limited moisture resistance
738,Cosmetics,7.96,344,528,734,Medium,Local transport,Die-cut box,3-ply,B+C,250,120,24,23,Air pillows,BOPP tape,None,Layer pads,23.56,Export suitable,Bulky size
739,Glass bottles,58.39,1466,785,787,Medium,Local transport,Mailer box,3-ply,E,230,140,12,48,Air pillows,BOPP tape,None,None,24.93,Low cost,Heavy box
740,Books,75.72,158,91,478,Low,Local transport,Mailer box,3-ply,E,250,100,24,23,Bubble wrap,Filament tape,PET strap,Pallet wrap,26.22,Good cushioning,Bulky size
741,LED bulbs,65.76,1449,215,94,Medium,Interstate trucking,RSC,5-ply,C,230,140,20,61,Corrugated dividers,BOPP tape,PP strap,Corner protectors,45.33,Low cost,Limited moisture resistance
742,Paint cans,54.8,419,567,186,Low,Courier,Mailer box,5-ply,C,120,140,22,72,Paper void fill,BOPP tape,PET strap,None,91.91,Low cost,Bulky size
743,Industrial tools,31.54,805,207,414,Low,Export container,Mailer box,3-ply,C,200,160,12,48,Foam sheet,Water activated kraft tape,Steel strap,None,12.28,High strength,Heavy box
744,Clothing,42.47,929,214,308,Low,Interstate trucking,RSC,7-ply,A,200,100,22,72,Bubble wrap,Water activated kraft tape,Steel strap,Pallet wrap,255.57,Export suitable,Higher cost
745,Electronics,46.33,1473,535,138,High,Courier,RSC,3-ply,E,250,100,24,48,Corrugated dividers,Filament tape,PP strap,None,30.8,Good stacking,Heavy box
746,Food products,40.5,327,185,226,Low,Export container,Die-cut box,7-ply,E,200,160,14,61,Air pillows,Filament tape,None,None,220.62,Good cushioning,Limited moisture resistance
747,Auto parts,52.78,1170,590,635,Medium,Courier,RSC,3-ply,A,150,140,22,48,Air pillows,Filament tape,PP strap,Corner protectors,45.73,Good stacking,Bulky size
748,Cosmetics,64.12,706,262,316,High,Export container,Pallet box,7-ply,A,150,140,24,72,Bubble wrap,Water activated kraft tape,None,Corner protectors,229.0,High strength,Higher cost
749,Paint cans,53.97,905,351,648,Low,Export container,Die-cut box,5-ply,B,120,140,14,61,Corrugated dividers,Filament tape,PET strap,Layer pads,137.26,Export suitable,Needs padding
750,Auto parts,68.55,879,620,566,High,Local transport,Mailer box,3-ply,B+C,150,140,14,48,None,Filament tape,None,Layer pads,43.13,Low cost,Needs padding
751,Electronics,1.96,400,311,443,Low,Courier,Pallet box,7-ply,A,250,120,20,72,Bubble wrap,BOPP tape,Steel strap,Layer pads,208.67,Low cost,Heavy box
752,LED bulbs,61.58,1222,540,760,Low,Local transport,Pallet box,3-ply,B,120,120,14,51,Foam sheet,Filament tape,None,Pallet wrap,30.66,Good stacking,Heavy box
753,Paint cans,64.34,244,869,213,High,Export container,Full overlap box,5-ply,B+C,120,100,16,44,None,Water activated kraft tape,PET strap,Corner protectors,36.72,Low cost,Higher cost
754,Kitchen appliances,25.19,1194,649,138,High,Export container,Pallet box,3-ply,B+C,200,160,22,44,Corrugated dividers,BOPP tape,Steel strap,Corner protectors,18.59,Export suitable,Bulky size
755,Cosmetics,50.67,1388,698,429,Medium,Courier,Mailer box,7-ply,B+C,150,160,12,23,None,Filament tape,PET strap,None,133.77,Good stacking,Needs padding
756,Food products,46.15,1058,783,760,High,Export container,Mailer box,7-ply,C,230,120,22,61,Air pillows,Water activated kraft tape,PET strap,Edge protectors,101.33,Low cost,Limited moisture resistance
757,Industrial tools,70.93,558,297,120,High,Courier,Die-cut box,5-ply,E,200,120,12,32,Bubble wrap,BOPP tape,PP strap,Corner protectors,131.86,Good stacking,Needs padding
758,Food products,45.44,1444,287,495,Low,Local transport,RSC,7-ply,A,200,160,12,23,Bubble wrap,BOPP tape,PP strap,Pallet wrap,180.06,Export suitable,Higher cost
759,Paint cans,36.08,256,815,464,Medium,Export container,Die-cut box,7-ply,B,150,140,20,32,Paper void fill,Water activated kraft tape,PET strap,Edge protectors,354.06,High strength,Higher cost
760,Mobile accessories,34.42,1065,800,790,High,Local transport,Full overlap box,5-ply,B,250,160,18,48,Bubble wrap,Filament tape,None,Edge protectors,82.89,Low cost,Higher cost
761,Cosmetics,28.08,675,833,669,Low,Export container,Full overlap box,3-ply,B,250,120,22,23,Air pillows,BOPP tape,PP strap,Edge protectors,29.56,Good stacking,Limited moisture resistance
762,Cosmetics,66.29,512,853,175,Low,Courier,Full overlap box,3-ply,B+C,250,120,18,48,Air pillows,Filament tape,None,Corner protectors,45.68,Export suitable,Needs padding
763,Ceramics,21.61,542,887,367,High,Export container,Pallet box,7-ply,E,200,100,22,44,Air pillows,Filament tape,PET strap,None,133.5,Good cushioning,Higher cost
764,Auto parts,15.08,641,917,594,High,Courier,Pallet box,7-ply,B,200,140,18,48,Air pillows,Water activated kraft tape,PET strap,Pallet wrap,335.62,Low cost,Higher cost
765,Food products,79.03,685,558,334,Medium,Export container,RSC,5-ply,B,200,160,24,61,Air pillows,Water activated kraft tape,PET strap,Edge protectors,86.45,Export suitable,Needs padding
766,Kitchen appliances,37.91,351,463,60,Medium,Interstate trucking,Full overlap box,7-ply,A,200,120,14,32,Bubble wrap,Filament tape,Steel strap,Pallet wrap,218.61,Good cushioning,Heavy box
767,Industrial tools,79.77,1396,813,506,Low,Local transport,Mailer box,3-ply,B,150,140,16,72,Air pillows,Filament tape,PET strap,Corner protectors,31.96,Low cost,Needs padding
768,Industrial tools,67.38,1378,738,99,Low,Interstate trucking,Mailer box,5-ply,B,120,120,12,61,Corrugated dividers,Water activated kraft tape,PET strap,Pallet wrap,112.69,Good cushioning,Bulky size
769,Pharmaceutical,36.12,136,498,37,High,Courier,Mailer box,5-ply,E,120,100,22,44,Bubble wrap,Filament tape,Steel strap,Edge protectors,106.32,Good cushioning,Higher cost
770,Electronics,31.68,222,327,444,Low,Courier,Die-cut box,5-ply,E,200,140,14,72,None,Filament tape,Steel strap,None,131.77,Good stacking,Bulky size
771,Ceramics,79.65,188,72,565,High,Export container,Pallet box,3-ply,B+C,180,100,24,48,Bubble wrap,BOPP tape,None,Pallet wrap,44.78,Good stacking,Limited moisture resistance
772,Electronics,52.55,1108,244,308,Low,Interstate trucking,Mailer box,3-ply,C,150,160,16,44,Foam sheet,Water activated kraft tape,PET strap,Edge protectors,22.26,Good stacking,Heavy box
773,Cosmetics,72.88,1470,984,756,Low,Interstate trucking,Die-cut box,5-ply,C,200,120,12,72,None,Filament tape,None,Layer pads,102.87,Good stacking,Needs padding
774,Kitchen appliances,42.22,1301,875,725,High,Courier,Full overlap box,7-ply,B,200,160,12,23,Air pillows,Filament tape,PP strap,Edge protectors,267.91,High strength,Heavy box
775,Glass bottles,33.51,911,227,776,Low,Export container,Pallet box,5-ply,C,180,140,18,51,Corrugated dividers,Water activated kraft tape,Steel strap,Layer pads,80.34,Good cushioning,Higher cost
776,Auto parts,38.5,653,809,263,Low,Local transport,Mailer box,5-ply,B+C,180,120,24,23,None,BOPP tape,PP strap,Corner protectors,67.52,Export suitable,Bulky size
777,Auto parts,59.21,267,886,616,Medium,Export container,Mailer box,5-ply,B,250,120,12,61,Paper void fill,Water activated kraft tape,Steel strap,None,115.78,Export suitable,Higher cost
778,Industrial tools,67.4,933,707,354,Low,Export container,Full overlap box,3-ply,A,150,140,12,51,Air pillows,Filament tape,PP strap,Edge protectors,13.09,Good cushioning,Needs padding
779,Ceramics,61.53,1113,947,290,High,Interstate trucking,Die-cut box,5-ply,A,180,120,20,23,Paper void fill,BOPP tape,None,Pallet wrap,38.45,Good stacking,Heavy box
780,Clothing,10.86,1121,817,395,High,Interstate trucking,RSC,5-ply,A,250,140,16,72,Corrugated dividers,Water activated kraft tape,PET strap,Layer pads,37.95,Export suitable,Heavy box
781,Industrial tools,78.17,845,825,576,Medium,Interstate trucking,Pallet box,7-ply,B,200,160,12,72,None,Water activated kraft tape,PP strap,Corner protectors,253.62,Low cost,Heavy box
782,LED bulbs,58.38,1141,572,270,Medium,Courier,Mailer box,5-ply,A,200,120,20,44,Bubble wrap,Filament tape,None,Layer pads,117.99,Good stacking,Needs padding
783,LED bulbs,63.8,1490,536,574,Low,Local transport,Mailer box,5-ply,A,150,140,24,48,Paper void fill,Filament tape,Steel strap,Pallet wrap,130.33,Good stacking,Needs padding
784,LED bulbs,16.21,1274,934,750,Low,Local transport,RSC,5-ply,B+C,120,160,20,48,Foam sheet,BOPP tape,None,None,106.56,High strength,Bulky size
785,Auto parts,39.43,976,191,688,High,Export container,Pallet box,3-ply,E,150,160,20,44,None,BOPP tape,None,None,45.72,Good stacking,Bulky size
786,Kitchen appliances,16.75,865,171,351,Medium,Local transport,Die-cut box,3-ply,B+C,230,100,16,61,None,BOPP tape,PP strap,Corner protectors,33.8,Low cost,Needs padding
787,Cosmetics,31.57,1303,68,488,Medium,Courier,Die-cut box,5-ply,B,200,120,20,51,Corrugated dividers,Filament tape,None,None,91.19,Good stacking,Bulky size
788,Auto parts,3.13,775,505,307,Low,Interstate trucking,Pallet box,3-ply,E,230,120,18,51,Bubble wrap,Filament tape,PP strap,Layer pads,19.73,High strength,Needs padding
789,Paint cans,57.16,886,348,660,Low,Export container,RSC,3-ply,E,230,140,20,51,Air pillows,BOPP tape,None,Edge protectors,26.12,Good cushioning,Bulky size
790,Food products,64.45,589,900,480,Low,Export container,Pallet box,3-ply,A,150,140,16,61,Air pillows,Filament tape,Steel strap,Edge protectors,35.21,Good stacking,Bulky size
791,Auto parts,4.16,821,534,608,Low,Export container,Full overlap box,7-ply,B,230,100,14,72,Foam sheet,Filament tape,Steel strap,Edge protectors,168.4,Export suitable,Bulky size
792,Clothing,1.92,1284,987,122,Low,Courier,Mailer box,3-ply,C,150,120,16,61,None,Water activated kraft tape,PP strap,None,35.81,High strength,Limited moisture resistance
793,Glass bottles,0.87,302,979,569,High,Interstate trucking,Mailer box,5-ply,B+C,180,100,18,48,Paper void fill,BOPP tape,Steel strap,None,133.39,Low cost,Heavy box
794,Ceramics,78.63,1180,779,650,Medium,Export container,Die-cut box,3-ply,C,230,140,22,23,Paper void fill,BOPP tape,PET strap,Pallet wrap,21.63,Export suitable,Heavy box
795,Paint cans,76.57,680,503,142,Low,Export container,Mailer box,5-ply,A,150,100,22,32,Foam sheet,Water activated kraft tape,Steel strap,Edge protectors,66.37,Export suitable,Needs padding
796,LED bulbs,77.01,992,670,258,Medium,Courier,Mailer box,7-ply,C,250,140,22,32,Bubble wrap,BOPP tape,PET strap,None,205.67,Export suitable,Limited moisture resistance
797,Pharmaceutical,40.02,564,121,783,Medium,Local transport,Full overlap box,5-ply,B+C,180,140,14,23,Corrugated dividers,BOPP tape,Steel strap,Edge protectors,57.37,Low cost,Needs padding
798,Books,60.25,715,364,545,Low,Export container,Pallet box,5-ply,B,150,140,16,51,Bubble wrap,BOPP tape,PP strap,None,115.33,Low cost,Heavy box
799,Food products,65.26,211,865,212,Medium,Local transport,Die-cut box,5-ply,A,180,100,16,23,None,Filament tape,PET strap,None,122.18,Export suitable,Bulky size
800,Kitchen appliances,23.43,502,144,534,Low,Export container,RSC,3-ply,B,180,160,22,32,Air pillows,BOPP tape,PET strap,Edge protectors,32.76,Export suitable,Heavy box
801,Electronics,16.13,1077,948,144,Low,Export container,Full overlap box,3-ply,A,180,120,12,72,Corrugated dividers,Water activated kraft tape,PP strap,Layer pads,19.4,Low cost,Needs padding
802,Food products,59.02,226,845,185,High,Local transport,Pallet box,3-ply,C,200,160,14,44,Foam sheet,Water activated kraft tape,PP strap,Layer pads,22.3,Export suitable,Bulky size
803,Paint cans,38.02,1102,720,540,High,Interstate trucking,Pallet box,7-ply,A,230,120,24,51,Corrugated dividers,Filament tape,None,Corner protectors,106.24,Good cushioning,Bulky size
804,Books,21.29,1427,262,250,Medium,Export container,RSC,3-ply,E,230,140,12,48,Paper void fill,BOPP tape,PP strap,Layer pads,14.84,Export suitable,Bulky size
805,Auto parts,35.73,923,768,659,Medium,Courier,Die-cut box,3-ply,A,200,100,24,51,Corrugated dividers,BOPP tape,Steel strap,Corner protectors,46.27,Export suitable,Needs padding
806,Electronics,10.84,176,386,649,High,Interstate trucking,RSC,5-ply,B,150,140,16,61,Paper void fill,Filament tape,Steel strap,None,94.77,Export suitable,Higher cost
807,Clothing,42.83,558,247,116,High,Local transport,Mailer box,3-ply,B+C,150,120,20,48,Paper void fill,Water activated kraft tape,Steel strap,Pallet wrap,22.55,Good cushioning,Needs padding
808,Books,17.77,855,165,793,High,Courier,Full overlap box,3-ply,B,180,160,24,51,Bubble wrap,Water activated kraft tape,PET strap,Edge protectors,12.93,Good cushioning,Heavy box
809,Glass bottles,41.2,1146,997,81,Medium,Courier,Mailer box,3-ply,E,120,160,24,61,Air pillows,BOPP tape,PET strap,Corner protectors,25.49,High strength,Heavy box
810,Clothing,2.81,1291,808,518,Medium,Export container,RSC,7-ply,B,250,100,14,48,Paper void fill,Water activated kraft tape,Steel strap,Edge protectors,220.86,Good cushioning,Bulky size
811,Clothing,79.4,987,333,567,Low,Interstate trucking,Mailer box,5-ply,C,250,160,18,32,Paper void fill,Water activated kraft tape,PP strap,Layer pads,114.89,High strength,Needs padding
812,Books,74.26,251,153,259,High,Export container,Pallet box,5-ply,C,250,160,24,48,None,Filament tape,None,Edge protectors,88.09,Good stacking,Higher cost
813,Food products,61.96,331,578,39,Low,Interstate trucking,Pallet box,7-ply,B,230,120,16,23,Corrugated dividers,Filament tape,Steel strap,Pallet wrap,325.74,Export suitable,Limited moisture resistance
814,Ceramics,68.72,524,443,565,Medium,Local transport,Mailer box,7-ply,A,250,140,16,23,Paper void fill,BOPP tape,Steel strap,Layer pads,295.81,Export suitable,Limited moisture resistance
815,Cosmetics,36.99,271,792,630,Medium,Local transport,Full overlap box,3-ply,C,200,140,18,72,Corrugated dividers,Water activated kraft tape,None,Corner protectors,21.99,Low cost,Limited moisture resistance
816,Paint cans,31.75,937,133,325,Medium,Local transport,Pallet box,5-ply,B,230,120,18,72,Foam sheet,Filament tape,PP strap,None,105.74,Export suitable,Needs padding
817,Cosmetics,14.69,615,919,383,High,Interstate trucking,Full overlap box,7-ply,B+C,200,140,22,32,Foam sheet,Filament tape,PET strap,Corner protectors,231.4,Good cushioning,Heavy box
818,Cosmetics,61.37,1388,448,437,High,Interstate trucking,Pallet box,7-ply,B,230,100,20,48,Foam sheet,Filament tape,Steel strap,Corner protectors,214.56,Export suitable,Needs padding
819,Paint cans,77.17,1092,469,271,High,Interstate trucking,Mailer box,7-ply,B,200,100,12,48,None,Filament tape,None,Edge protectors,197.27,Low cost,Needs padding
820,Clothing,15.58,85,478,797,Low,Interstate trucking,Pallet box,3-ply,A,250,100,18,51,Paper void fill,Filament tape,PET strap,Layer pads,28.01,High strength,Heavy box
821,Pharmaceutical,57.73,1064,964,212,Low,Local transport,Pallet box,5-ply,A,180,120,12,72,Bubble wrap,BOPP tape,PP strap,Edge protectors,112.91,Good cushioning,Limited moisture resistance
822,Auto parts,32.85,1125,820,408,Low,Local transport,Die-cut box,5-ply,E,180,160,16,32,Paper void fill,Filament tape,None,None,58.17,Good stacking,Limited moisture resistance
823,Mobile accessories,43.87,976,839,632,Low,Export container,Full overlap box,7-ply,C,150,160,12,51,Air pillows,Filament tape,PP strap,Pallet wrap,212.42,Export suitable,Heavy box
824,Clothing,2.19,1098,556,357,Medium,Interstate trucking,RSC,5-ply,A,250,120,24,72,Paper void fill,BOPP tape,Steel strap,Pallet wrap,91.71,Export suitable,Heavy box
825,Glass bottles,46.1,818,810,556,Low,Local transport,RSC,7-ply,C,250,160,12,44,None,BOPP tape,Steel strap,Edge protectors,288.73,High strength,Limited moisture resistance
826,Pharmaceutical,24.98,1482,379,799,Low,Local transport,Pallet box,5-ply,C,150,140,16,23,Foam sheet,Water activated kraft tape,PET strap,Pallet wrap,102.22,Good cushioning,Limited moisture resistance
827,Food products,63.57,126,877,572,Medium,Interstate trucking,Mailer box,7-ply,B+C,180,140,22,72,None,Water activated kraft tape,PET strap,None,351.91,Good stacking,Limited moisture resistance
828,Pharmaceutical,62.14,642,598,269,Medium,Interstate trucking,Die-cut box,7-ply,C,250,160,22,32,Foam sheet,BOPP tape,None,Edge protectors,249.24,Export suitable,Higher cost
829,Ceramics,71.52,647,158,599,High,Courier,RSC,7-ply,C,250,100,24,23,Corrugated dividers,Water activated kraft tape,PP strap,None,156.9,Good stacking,Needs padding
830,Books,1.7,1251,351,246,Medium,Courier,RSC,3-ply,E,180,100,22,61,None,Water activated kraft tape,PET strap,Pallet wrap,22.67,Good cushioning,Higher cost
831,Auto parts,42.79,1334,480,698,Low,Local transport,Pallet box,5-ply,A,180,100,14,61,None,Filament tape,PP strap,Pallet wrap,125.59,Good stacking,Bulky size
832,Ceramics,77.21,88,421,126,High,Interstate trucking,Mailer box,7-ply,B,250,100,18,23,Bubble wrap,Water activated kraft tape,Steel strap,Layer pads,311.58,High strength,Higher cost
833,Electronics,46.13,1150,976,217,Medium,Local transport,Mailer box,3-ply,C,230,120,22,23,Bubble wrap,Filament tape,PET strap,Edge protectors,19.13,Export suitable,Needs padding
834,Kitchen appliances,26.36,525,322,650,Medium,Courier,Full overlap box,7-ply,B,250,120,12,51,Paper void fill,BOPP tape,PP strap,None,161.03,Good stacking,Higher cost
835,Mobile accessories,20.59,1272,627,630,Low,Export container,Full overlap box,5-ply,C,250,140,22,72,Foam sheet,BOPP tape,Steel strap,Corner protectors,128.93,Good cushioning,Limited moisture resistance
836,Industrial tools,53.85,1369,169,141,Low,Interstate trucking,Mailer box,5-ply,B+C,180,100,14,32,Corrugated dividers,Water activated kraft tape,PET strap,Layer pads,135.68,Export suitable,Bulky size
837,Kitchen appliances,42.36,749,132,575,Low,Courier,Full overlap box,5-ply,A,120,140,20,61,None,Water activated kraft tape,None,Corner protectors,42.2,Low cost,Higher cost
838,Industrial tools,2.23,783,941,327,Low,Interstate trucking,Pallet box,5-ply,B,180,120,18,23,Corrugated dividers,Filament tape,PET strap,Layer pads,139.52,Good cushioning,Higher cost
839,Pharmaceutical,38.52,912,289,69,Medium,Export container,Die-cut box,3-ply,A,230,100,18,48,Bubble wrap,Water activated kraft tape,PP strap,Corner protectors,34.77,High strength,Limited moisture resistance
840,Pharmaceutical,63.34,1030,994,773,Low,Interstate trucking,Mailer box,5-ply,E,150,160,20,51,Foam sheet,Water activated kraft tape,PP strap,Corner protectors,37.62,Export suitable,Needs padding
841,Pharmaceutical,55.97,193,833,249,High,Local transport,Pallet box,7-ply,A,200,160,20,72,Bubble wrap,Water activated kraft tape,PP strap,Pallet wrap,210.15,Good stacking,Needs padding
842,LED bulbs,42.41,1406,885,459,Medium,Export container,Mailer box,5-ply,B,150,120,14,48,Foam sheet,Water activated kraft tape,PET strap,Edge protectors,115.42,High strength,Bulky size
843,Auto parts,62.97,1174,570,669,High,Courier,Die-cut box,3-ply,B+C,230,120,14,23,None,BOPP tape,Steel strap,None,45.79,Good stacking,Bulky size
844,Pharmaceutical,17.97,1442,327,660,High,Courier,Full overlap box,7-ply,B,150,100,12,72,Foam sheet,Water activated kraft tape,None,Edge protectors,221.23,High strength,Higher cost
